x,y,yaw
0.0,0.0,0.0
0.01993288590604027,0.0,0.0
0.03986577181208054,0.0,0.0
0.05979865771812082,0.0,0.0
0.07973154362416109,0.0,0.0
0.09966442953020135,0.0,0.0
0.11959731543624162,0.0,0.0
0.1395302013422819,0.0,0.0
0.15946308724832217,0.0,0.0
0.17939597315436245,0.0,0.0
0.19932885906040274,0.0,0.0
0.21926174496644302,0.0,0.0
0.2391946308724833,0.0,0.0
0.2591275167785236,0.0,0.0
0.27906040268456384,0.0,0.0
0.2989932885906041,0.0,0.0
0.31892617449664434,0.0,0.0
0.3388590604026846,0.0,0.0
0.35879194630872485,0.0,0.0
0.3787248322147651,0.0,0.0
0.39865771812080536,0.0,0.0
0.4185906040268456,0.0,0.0
0.43852348993288587,0.0,0.0
0.4584563758389261,0.0,0.0
0.4783892617449664,0.0,0.0
0.49832214765100663,0.0,0.0
0.5182550335570469,0.0,0.0
0.5381879194630872,0.0,0.0
0.5581208053691274,0.0,0.0
0.5780536912751677,0.0,0.0
0.597986577181208,0.0,0.0
0.6179194630872482,0.0,0.0
0.6378523489932885,0.0,0.0
0.6577852348993287,0.0,0.0
0.677718120805369,0.0,0.0
0.6976510067114092,0.0,0.0
0.7175838926174495,0.0,0.0
0.7375167785234897,0.0,0.0
0.75744966442953,0.0,0.0
0.7773825503355702,0.0,0.0
0.7973154362416105,0.0,0.0
0.8172483221476508,0.0,0.0
0.837181208053691,0.0,0.0
0.8571140939597313,0.0,0.0
0.8770469798657715,0.0,0.0
0.8969798657718118,0.0,0.0
0.916912751677852,0.0,0.0
0.9368456375838923,0.0,0.0
0.9567785234899325,0.0,0.0
0.9767114093959728,0.0,0.0
0.996644295302013,0.0,0.0
1.0165771812080533,0.0,0.0
1.0365100671140937,0.0,0.0
1.056442953020134,0.0,0.0
1.0763758389261744,0.0,0.0
1.0963087248322148,0.0,0.0
1.1162416107382551,0.0,0.0
1.1361744966442955,0.0,0.0
1.1561073825503358,0.0,0.0
1.1760402684563762,0.0,0.0
1.1959731543624166,0.0,0.0
1.215906040268457,0.0,0.0
1.2358389261744973,0.0,0.0
1.2557718120805377,0.0,0.0
1.275704697986578,0.0,0.0
1.2956375838926184,0.0,0.0
1.3155704697986588,0.0,0.0
1.3355033557046991,0.0,0.0
1.3554362416107395,0.0,0.0
1.3753691275167799,0.0,0.0
1.3953020134228202,0.0,0.0
1.4152348993288606,0.0,0.0
1.435167785234901,0.0,0.0
1.4551006711409413,0.0,0.0
1.4750335570469817,0.0,0.0
